#x_pix y_pix magnitude 
12916.0 2999.0 25.95762771283716 
11255.0 22649.0 20.80710167341873 
7392.0 14234.0 24.059477969292583 
18929.0 19378.0 19.48535836805054 
21540.0 8018.0 23.313035603019266 
17483.0 5611.0 24.460979124466824 
20456.0 14884.0 22.444427390761533 
20626.0 5419.0 25.922294460777593 
14063.0 15808.0 23.875663261424087 
23026.0 19244.0 22.137293847354723 
21684.0 17623.0 21.963982404815493 
16057.0 9757.0 24.22329709353295 
13413.0 16007.0 19.129507435550053 
24260.0 8230.0 24.27420879035136 
16731.0 8568.0 22.246705761361014 
13450.0 19574.0 24.46708732018664 
15684.0 7148.0 19.892429912343342 
19879.0 20469.0 19.688430150204137 
24808.0 8516.0 20.105845175409144 
4117.0 10727.0 20.249973697463112 
8960.0 17956.0 18.399795069345593 
10335.0 19545.0 23.737504847088346 
23826.0 15971.0 19.14011168449324 
11783.0 5357.0 21.590859795099846 
2367.0 16380.0 22.867481874601232 
19634.0 19886.0 19.199729881112187 
6005.0 8557.0 20.977053358504214 
22055.0 14978.0 21.186824218954364 
17946.0 4155.0 23.4853056566406 
25347.0 14779.0 18.08949038412854 
21703.0 6006.0 20.11383375525162 
4115.0 17244.0 20.031096046532447 
18635.0 21645.0 20.172158000822215 
23644.0 18841.0 23.857412450275596 
18185.0 12005.0 24.101414061866564 
22211.0 8261.0 23.678601065162752 
18402.0 23785.0 23.610599807916508 
21036.0 14906.0 18.468312119019327 
11233.0 5148.0 25.29743769359974 
3848.0 16731.0 21.405880146515198 
25442.0 19286.0 19.97561726923484 
23377.0 10810.0 21.07255625366662 
14602.0 11700.0 24.984122802996705 
3652.0 18935.0 19.53832750604863 
17040.0 16005.0 21.811996695781907 
20237.0 11476.0 19.844283758467526 
17868.0 23737.0 19.416195801810424 
3515.0 18569.0 21.615776349693604 
15243.0 18215.0 25.26869961657525 
9223.0 21018.0 21.4802539828979 
23412.0 15160.0 19.11616164114234 
26402.0 15321.0 22.043041146032458 
23173.0 20993.0 21.232656417250045 
14401.0 13967.0 23.987195391016797 
8839.0 10100.0 18.4790112129634 
15823.0 1169.0 18.685901375236657 
6571.0 4604.0 24.919623781162596 
24450.0 13864.0 21.887048835435785 
19769.0 9364.0 25.946935484981196 
19172.0 10505.0 25.69336024279999 
23232.0 10647.0 21.608402799276774 
5308.0 5026.0 25.410492306541077 
6170.0 18707.0 24.060036823980614 
6260.0 7663.0 19.05279930147621 
20267.0 12631.0 25.001650595233038 
15673.0 4198.0 19.820279982878574 
